# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.1874,1,0.455426,3,7,0,28.6572,-0.662864,-0.489457,1.43541,10.3671,1.76006,-5.43998
-27.5015,0.987316,0.455426,3,7,0,27.9971,-0.38899,-0.36008,1.01269,-5.85845,3.42685,-0.134304
-28.4119,0.948603,0.455426,2,7,0,29.6834,-0.266888,-0.230477,-0.906321,-9.92744,4.25967,7.17804
-27.3668,0.979503,0.455426,1,3,0,28.9803,-0.458026,-0.308717,3.52963,7.66733,2.60178,3.01883
-27.2407,0.897148,0.455426,2,7,0,30.1728,-0.605254,-0.478401,-2.75107,-13.9399,2.14596,-5.25955
-28.6009,0.970902,0.455426,3,7,0,28.6228,-1.54138,-0.474281,0.494733,0.595972,-4.88667,2.92628
-27.7551,1,0.455426,2,3,0,28.6223,-1.31882,-0.550539,3.24883,-3.03059,-2.56881,-2.57093
-27.3846,0.9957,0.455426,1,3,0,27.9568,-1.17253,-0.531221,-2.64088,-2.45159,-1.72545,-3.19814
-27.288,0.948517,0.455426,3,7,0,29.3374,-0.901123,-0.548477,5.3558,0.0625954,0.397996,-6.41059
-27.2249,0.997734,0.455426,3,7,0,27.4834,-1.13501,-0.410479,0.0223429,4.58303,-2.54738,1.95841
-27.1131,0.996478,0.455426,2,7,0,27.5241,-0.571849,-0.430755,2.38234,0.668009,2.14992,-3.079
-27.1627,0.985713,0.455426,2,3,0,27.4846,-0.509252,-0.384699,-1.69454,3.08012,2.45436,-0.986079
-27.9846,0.951747,0.455426,2,3,0,28.0143,-0.331758,-0.454685,-0.49351,-0.999616,4.24999,-5.34823
-28.9337,0.974769,0.455426,3,7,0,29.5682,-0.830491,-0.119748,-2.57065,-3.63144,-1.61879,15.3463
-29.6238,0.949189,0.455426,1,1,0,29.6289,-0.844895,-0.0794754,-0.198134,0.433479,-1.84213,17.6812
-28.4425,0.98018,0.455426,3,7,0,30.9573,-0.743918,-0.650531,5.67518,-4.16752,2.26961,-11.929
-28.2619,1,0.455426,3,7,0,28.7865,-0.893014,-0.658328,2.60089,-1.833,1.36037,-11.1044
-31.4913,0.837652,0.455426,2,7,0,33.0775,-0.0786526,-0.658763,3.73651,6.91626,6.51264,-14.9124
-28.6573,1,0.455426,2,3,0,31.422,-0.391363,-0.569967,-4.74996,9.67862,4.2158,-10.547
-27.1926,1,0.455426,3,7,0,28.9978,-1.10315,-0.503576,-4.17791,6.73439,-1.48065,-2.62141
-28.0477,0.977295,0.455426,2,3,0,28.1857,-1.39672,-0.580433,1.0867,2.08923,-2.79122,-3.01036
-29.2911,0.975286,0.455426,2,3,0,29.3844,-1.68217,-0.677609,1.09102,-0.822287,-3.56965,-3.68762
-26.9561,0.989587,0.455426,3,7,0,29.8035,-0.981204,-0.386507,-5.9701,-4.94481,-1.52698,1.87678
-27.3268,0.957513,0.455426,3,7,0,28.5414,-0.877914,-0.269405,-1.91304,-8.80061,-1.43079,7.22905
-26.8415,0.999259,0.455426,2,3,0,27.3965,-0.893775,-0.400399,0.841245,-6.40229,-0.712459,0.533187
-27.7486,0.949531,0.455426,2,7,0,28.0408,-0.612678,-0.553383,-1.31024,3.71198,2.53595,-8.70284
-27.1599,0.992469,0.455426,3,7,0,28.2372,-0.827484,-0.520699,-3.46488,4.22375,0.720322,-5.74406
-26.9633,1,0.455426,3,7,0,27.2509,-0.910235,-0.346317,-1.96947,-0.925599,-1.23189,3.38878
-27.0244,0.998534,0.455426,3,7,0,27.0684,-0.62766,-0.437008,0.402149,1.62319,1.72224,-3.08216
-27.5359,0.985838,0.455426,3,15,0,27.8028,-1.23854,-0.53921,-1.72132,2.11909,-2.11874,-2.89855
-27.8719,0.988231,0.455426,2,3,0,27.9971,-1.3691,-0.538766,1.31371,-0.392306,-3.04109,-1.54895
-28.2331,0.997663,0.455426,3,7,0,28.4659,-1.40525,-0.622923,1.80412,-0.147082,-2.38785,-4.67029
-27.0429,0.993788,0.455426,3,7,0,28.9772,-1.03292,-0.479993,3.1596,9.96093,-1.16659,-2.17262
-27.8273,0.948939,0.455426,2,3,0,27.9896,-0.806557,-0.604426,1.30411,-1.82056,1.51276,-9.5848
-26.9746,0.999877,0.455426,3,7,0,28.1745,-0.879848,-0.333545,-4.09641,-0.291096,-1.05979,3.84688
-27.7629,0.97453,0.455426,3,7,0,28.219,-0.409903,-0.251335,0.242488,-6.05955,2.87534,6.238
-27.8284,0.974,0.455426,3,7,0,28.843,-1.33771,-0.559689,0.480157,-9.00584,-2.60525,-2.76381
-27.3546,0.987529,0.455426,2,7,0,28.3104,-0.715473,-0.53055,-2.83802,-5.55944,1.62997,-7.00956
-27.7091,0.941815,0.455426,2,7,0,29.3039,-0.875568,-0.223773,0.835091,-11.2048,-1.64583,9.69073
-27.3661,1,0.455426,3,7,0,28.1764,-0.637591,-0.511019,3.30526,1.55655,2.09062,-6.61678
-27.2957,1,0.455426,1,1,0,27.3785,-0.640564,-0.500923,0.502311,-2.29524,2.00521,-6.12418
-26.9149,0.999026,0.455426,2,7,0,27.4156,-0.915787,-0.46437,2.25732,-3.33162,-0.397504,-2.41724
-26.9535,0.998333,0.455426,2,3,0,26.9614,-0.904216,-0.479285,0.220775,-0.598265,-0.188704,-3.21595
-27.0684,0.997718,0.455426,2,3,0,27.0908,-1.00338,-0.499672,0.48165,-0.684549,-0.772799,-3.33612
-27.0299,0.993927,0.455426,2,7,0,27.4967,-0.580784,-0.342893,-1.52281,-4.94624,1.61931,1.62515
-27.1231,0.997016,0.455426,2,3,0,27.1608,-0.562714,-0.315654,0.099409,-1.73433,1.65598,3.05531
-27.0533,0.961823,0.455426,2,7,0,28.3042,-0.604157,-0.432562,-1.06747,-9.74802,1.8911,-2.99264
-28.1595,0.956394,0.455426,3,7,0,28.9385,-0.531801,-0.175619,0.171526,-7.94576,1.44327,11.2003
-30.0306,0.919017,0.455426,3,7,0,31.2951,-0.747465,-0.764121,4.13097,1.91797,3.02436,-16.0921
-29.463,1,0.455426,3,7,0,30.5562,-1.55028,-0.33514,1.11441,9.03439,-6.18899,8.74281
-28.202,1,0.455426,3,7,0,29.4361,-0.480105,-0.558953,4.10056,-1.63093,3.52956,-9.67164
-27.1077,0.9958,0.455426,3,7,0,28.7251,-0.672882,-0.289766,3.34117,-8.16175,0.520624,5.03013
-26.8603,0.992051,0.455426,2,7,0,27.4702,-0.769274,-0.352234,1.48308,6.06572,0.0081434,2.16485
-27.4517,0.975386,0.455426,2,3,0,27.5956,-0.540452,-0.254267,1.20851,1.79279,1.61231,6.49753
-28.2345,0.945421,0.455426,2,3,0,28.6934,-0.226324,-0.304638,1.60048,4.73487,4.80184,2.60186
-27.6515,1,0.455426,3,7,0,28.3916,-1.30536,-0.514559,-0.206238,-7.73881,-2.84017,-1.15959
-27.903,0.968664,0.455426,3,15,0,28.999,-0.397286,-0.485204,-3.22951,-5.3395,3.8312,-6.61831
-27.4737,0.999542,0.455426,3,7,0,28.5731,-0.77768,-0.559124,-3.91804,0.470424,1.3767,-7.84868
-28.2519,0.968821,0.455426,3,7,0,28.8787,-0.91479,-0.659976,1.98212,-5.30319,1.23251,-10.9903
-27.3161,1,0.455426,2,3,0,28.2018,-1.02964,-0.552082,0.919177,-8.18934,-0.500631,-5.4568
-27.0726,0.993405,0.455426,3,7,0,27.9823,-1.07946,-0.447925,2.87591,5.08944,-1.79978,-0.275355
-28.1076,0.923348,0.455426,3,7,0,29.5941,-1.0762,-0.656801,-4.55861,0.377493,0.14983,-9.42966
-27.6804,0.994312,0.455426,3,7,0,28.4806,-1.31382,-0.518519,-0.875725,7.78287,-2.86037,-1.24617
-26.8749,0.990069,0.455426,3,7,0,28.1135,-0.810631,-0.449918,-4.12567,-1.35494,0.321728,-2.52129
-27.17,0.991088,0.455426,3,7,0,27.2819,-1.06757,-0.511685,0.541227,-2.71959,-1.14378,-3.31251
-27.0127,1,0.455426,2,3,0,27.1729,-0.975199,-0.488544,1.07022,2.5231,-0.655498,-3.06448
-27.0089,0.992232,0.455426,3,15,0,27.2574,-0.596239,-0.341192,1.62741,-2.19504,1.472,1.79463
-27.2464,0.985318,0.455426,2,3,0,27.3561,-0.515528,-0.304619,1.12578,1.24689,2.04645,3.47829
-27.5275,0.967288,0.455426,3,7,0,28.3168,-1.16918,-0.35215,-0.00809725,-8.0086,-3.28612,4.99664
-26.9378,0.997161,0.455426,3,7,0,27.7513,-0.864857,-0.475123,-2.98308,3.8003,0.0832531,-3.32867
-27.0708,0.990303,0.455426,2,3,0,27.1563,-0.908802,-0.509277,-0.383261,2.46743,0.0189971,-4.57492
-28.5845,0.961262,0.455426,3,7,0,28.7785,-1.15622,-0.705427,1.55747,-1.29652,0.102642,-10.5715
-29.2619,0.960364,0.455426,2,3,0,29.5578,-1.00499,-0.751387,-1.99358,0.984414,1.45035,-13.6826
-28.824,0.989875,0.455426,2,3,0,29.6856,-0.89832,-0.705817,0.0402937,-8.36669,1.71222,-12.8963
-28.464,1,0.455426,3,7,0,28.8273,-0.824531,-0.151671,2.21369,1.03465,-1.46945,13.5087
-27.1683,0.925086,0.455426,3,7,0,31.486,-0.659362,-0.484727,-2.16019,17.9933,1.75756,-5.23585
-27.0775,0.992374,0.455426,3,7,0,28.1252,-0.961267,-0.336179,-1.8054,-8.1368,-1.72821,4.2563
-27.0486,0.998471,0.455426,3,7,0,27.3007,-0.561141,-0.355411,1.11187,-3.64815,1.85616,0.844132
-26.9404,0.994852,0.455426,3,7,0,27.2338,-0.991851,-0.443501,1.97221,-1.12073,-1.15989,-0.806044
-27.3074,0.981697,0.455426,3,7,0,27.4436,-1.06514,-0.33502,-0.527232,-3.07531,-2.58917,5.04747
-27.3884,0.997699,0.455426,2,3,0,27.4054,-1.07621,-0.32535,-0.455673,0.413563,-2.74789,5.60452
-28.7398,0.973049,0.455426,4,15,0,29.1338,-1.22697,-0.719893,-2.17353,2.1427,-0.196815,-10.42
-28.3028,0.999365,0.455426,3,7,0,29.6295,-1.49003,-0.506551,3.41798,6.32278,-4.20999,1.06407
-28.4689,0.994972,0.455426,2,3,0,28.508,-1.52112,-0.488408,-0.571439,-1.13183,-4.60735,2.13754
-27.2878,0.99069,0.455426,2,7,0,29.4049,-1.06076,-0.336695,5.08638,4.67317,-2.5416,4.93296
-26.8757,0.998712,0.455426,2,7,0,27.3887,-0.907491,-0.446851,-1.6859,5.01854,-0.470689,-1.64324
-26.9032,0.992753,0.455426,2,7,0,27.2392,-0.651271,-0.371655,1.62811,3.45111,1.1464,0.439561
-27.76,0.878854,0.455426,3,7,0,30.3073,-1.0649,-0.616695,-4.13713,10.3741,-0.151466,-7.89646
-28.5518,0.975445,0.455426,3,7,0,28.5874,-0.722953,-0.13781,-0.700857,-0.213075,-0.547492,14.0079
-28.3535,1,0.455426,2,3,0,28.6219,-0.666206,-0.151408,-0.862391,4.18293,0.0422619,13.0419
