# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.153,0.997897,0.86609,1,1,0,30.1575,-0.548183,0.306667,1.02888
-30.599,0.864308,0.86609,1,3,0,31.2641,-0.968699,3.71397,-3.04884
-30.1057,0.969566,0.86609,1,3,0,30.8967,-0.619784,4.05003,0.29338
-31.3461,0.783418,0.86609,1,3,0,31.8494,-0.161977,3.23049,5.19623
-31.2423,1,0.86609,1,1,0,31.5193,-0.182398,-2.3967,4.96998
-32.6732,0.916616,0.86609,2,3,0,32.6859,0.0467579,0.51388,7.52172
-31.6935,1,0.86609,1,1,0,32.5853,-0.0993197,-4.3005,5.89249
-30.1492,1,0.86609,2,3,0,31.6528,-0.551855,-5.58376,0.990803
-30.1043,0.992379,0.86609,2,3,0,30.2242,-0.672428,1.57686,-0.237635
-30.1816,0.979533,0.86609,1,3,0,30.2541,-0.523442,-1.22655,1.28634
-30.6303,0.937363,0.86609,2,3,0,30.8109,-0.329516,1.93511,3.35504
-30.2698,1,0.86609,3,7,0,30.5626,-0.467571,-2.4638,1.8736
-30.2307,0.940188,0.86609,1,3,0,30.7936,-0.810297,3.4165,-1.58525
-30.2691,0.985751,0.86609,2,3,0,30.4169,-0.833008,1.75028,-1.80087
-30.368,0.983374,0.86609,1,1,0,30.3755,-0.881706,-0.394298,-2.2568
-30.8903,0.796177,0.86609,1,3,0,32.4362,-0.25989,-5.6619,4.11561
-30.1167,1,0.86609,2,3,0,30.7533,-0.703882,-3.63331,-0.550727
-30.1312,0.990148,0.86609,1,3,0,30.2052,-0.572204,-1.23841,0.780501
-30.1274,1,0.86609,2,7,0,30.1308,-0.720796,-0.265241,-0.717747
-30.5185,0.937969,0.86609,1,3,0,30.6165,-0.941194,-1.42531,-2.80159
-30.587,0.844572,0.86609,1,3,0,32.1947,-0.342709,-5.77396,3.21183
-30.1538,0.928954,0.86609,2,3,0,31.3498,-0.751214,-4.98016,-1.0157
-30.1342,0.98449,0.86609,1,3,0,30.2963,-0.568435,-1.83334,0.819365
-30.4947,0.895803,0.86609,1,3,0,30.9823,-0.932573,3.17993,-2.72348
-30.543,0.992122,0.86609,1,1,0,30.5952,-0.949832,1.04036,-2.87955
-30.2217,0.859191,0.86609,2,3,0,32.0283,-0.804511,6.12082,-1.53002
-30.2913,0.988119,0.86609,1,1,0,30.297,-0.844921,0.344738,-1.91321
-30.2011,0.951709,0.86609,1,3,0,30.7581,-0.509091,-3.39838,1.43644
-30.3063,0.980156,0.86609,1,1,0,30.3079,-0.449053,-0.177625,2.06993
-30.3042,1,0.86609,1,1,0,30.3436,-0.450104,-0.904117,2.05877
-30.2207,1,0.86609,1,1,0,30.2938,-0.496107,-1.23178,1.57268
-30.2289,0.999605,0.86609,2,7,0,30.2323,-0.80915,-0.267989,-1.57431
-30.1886,0.9618,0.86609,1,3,0,30.595,-0.518105,2.90309,1.34211
-30.3251,0.974373,0.86609,1,1,0,30.3251,-0.440212,0.00458286,2.16395
-30.2773,0.9627,0.86609,3,7,0,30.6478,-0.463619,-2.77188,1.91543
-30.3019,0.99529,0.86609,1,1,0,30.3282,-0.451194,0.737772,2.0472
-30.2939,1,0.86609,1,1,0,30.3343,-0.455169,-0.915853,2.005
-30.3019,0.914145,0.86609,1,3,0,31.0281,-0.85039,-3.88066,-1.96461
-30.125,0.978833,0.86609,1,3,0,30.5388,-0.580597,2.92928,0.694091
-31.1684,0.885326,0.86609,3,7,0,31.1833,-1.12187,0.557031,-4.37024
-30.1064,0.964326,0.86609,1,3,0,31.5258,-0.680017,-5.42541,-0.313472
-31.0591,0.905844,0.86609,2,3,0,31.0811,-0.220909,-0.675932,4.54448
-31.1354,0.994963,0.86609,2,3,0,31.3004,-0.204453,1.84961,4.72611
-31.3595,0.956137,0.86609,1,1,0,31.5027,-0.159414,-1.72332,5.22464
-30.1207,1,0.86609,2,3,0,31.1446,-0.710813,-4.60791,-0.619285
-30.1016,0.998802,0.86609,1,3,0,30.1315,-0.642978,-0.786818,0.0583622
-30.1391,0.991048,0.86609,1,3,0,30.1651,-0.735551,0.73467,-0.862664
-30.2145,0.963816,0.86609,1,3,0,30.4388,-0.500047,-2.15624,1.5313
-30.2559,0.938707,0.86609,1,3,0,30.7334,-0.825487,-3.14702,-1.72967
-30.1826,1,0.86609,1,1,0,30.2444,-0.776523,1.13233,-1.26117
-30.1624,1,0.86609,1,1,0,30.1846,-0.759339,-0.679791,-1.09474
-30.1018,0.996532,0.86609,1,3,0,30.1943,-0.640706,-1.38501,0.081318
-30.274,0.965268,0.86609,1,3,0,30.3528,-0.465345,-1.27779,1.89716
-30.3366,0.988062,0.86609,1,1,0,30.3538,-0.434959,0.597542,2.21989
-30.2621,0.982357,0.86609,2,3,0,30.5506,-0.471754,-2.44612,1.82937
-30.1479,0.966651,0.86609,1,3,0,30.5423,-0.745269,2.85969,-0.95771
-30.2681,0.982429,0.86609,2,3,0,30.3336,-0.832458,-1.16495,-1.79567
-30.4483,0.970012,0.86609,1,1,0,30.449,-0.915019,0.121752,-2.56355
-30.5013,0.991304,0.86609,1,1,0,30.5448,-0.934991,0.949785,-2.74542
-30.5444,0.992976,0.86609,1,1,0,30.5991,-0.95031,1.06546,-2.88386
-30.7214,0.990626,0.86609,2,3,0,30.7515,-1.00675,-0.790623,-3.38593
-30.5912,1,0.86609,2,3,0,30.7468,-0.96616,-1.79634,-3.02613
-30.2641,0.841988,0.86609,2,3,0,32.2985,-0.830218,6.49513,-1.77448
-30.3084,0.863657,0.86609,2,3,0,31.6054,-0.853672,-5.18623,-1.99541
